Date,AAPL,AMZN,GOOGL,MSFT
2016-07-07,22.146900177001953,36.82849884033203,35.362998962402344,46.501373291015625
2016-07-08,22.317716598510742,37.29050064086914,35.888999938964844,47.334022521972656
2016-07-11,22.386974334716797,37.68899917602539,36.36000061035156,47.596492767333984
2016-07-12,22.488540649414062,37.410499572753906,36.6254997253418,48.15760040283203
2016-07-13,22.3615779876709,37.131500244140625,36.4739990234375,48.42911911010742
2016-07-14,22.80479621887207,37.060001373291016,36.790000915527344,48.63730239868164
2016-07-15,22.80247688293457,36.77199935913086,36.78150177001953,48.601078033447266
2016-07-18,23.044864654541016,36.80350112915039,37.65999984741211,48.83641052246094
2016-07-19,23.054101943969727,36.997501373291016,37.670501708984375,48.04900360107422
2016-07-20,23.074880599975586,37.2859992980957,37.854000091552734,50.60124206542969
2016-07-21,22.95253562927246,37.221500396728516,37.72050094604492,50.501686096191406
2016-07-22,22.774782180786133,37.24300003051758,37.9640007019043,51.19858169555664
2016-07-25,22.470073699951172,36.980499267578125,37.875999450683594,51.343379974365234
2016-07-26,22.31540870666504,36.77949905395508,37.88249969482422,51.37052536010742
2016-07-27,23.765090942382812,36.833499908447266,38.0984992980957,50.85464096069336
2016-07-28,24.085956573486328,37.63050079345703,38.29199981689453,50.87275695800781
2016-07-29,24.055959701538086,37.94049835205078,39.56700134277344,51.29813003540039
2016-08-01,24.480697631835938,38.387001037597656,40.047000885009766,51.20762252807617
2016-08-02,24.11827850341797,38.02899932861328,40.00600051879883,51.20762252807617
2016-08-03,24.420677185058594,37.731998443603516,39.94599914550781,51.56058883666992
2016-08-04,24.57154083251953,38.03850173950195,39.86249923706055,51.94070816040039
2016-08-05,24.945209503173828,38.29899978637695,40.346500396728516,52.45658874511719
2016-08-08,25.15177345275879,38.327999114990234,40.26150131225586,52.547096252441406
2016-08-09,25.253887176513672,38.41550064086914,40.374000549316406,52.673805236816406
2016-08-10,25.06589698791504,38.428001403808594,40.42449951171875,52.510887145996094
2016-08-11,25.049650192260742,38.5620002746582,40.40999984741211,52.76430892944336
2016-08-12,25.1076717376709,38.62799835205078,40.352500915527344,52.438480377197266
2016-08-15,25.409387588500977,38.42449951171875,40.29800033569336,52.60139465332031
2016-08-16,25.38617706298828,38.20199966430664,40.05950164794922,52.309967041015625
2016-08-17,25.34904670715332,38.23149871826172,40.270999908447266,52.41926193237305
2016-08-18,25.31655502319336,38.222999572753906,40.13750076293945,52.45568084716797
2016-08-19,25.38154411315918,37.865501403808594,39.98249816894531,52.47389602661133
2016-08-22,25.184261322021484,37.9739990234375,39.84749984741211,52.51943588256836
2016-08-23,25.263174057006836,38.122501373291016,39.829498291015625,52.71979522705078
2016-08-24,25.072858810424805,37.86249923706055,39.68000030517578,52.77443313598633
2016-08-25,24.96609115600586,37.96099853515625,39.564998626708984,52.974761962890625
2016-08-26,24.819881439208984,38.45000076293945,39.6609992980957,52.84727478027344
2016-08-29,24.79202651977539,38.56449890136719,39.79100036621094,52.91102600097656
2016-08-30,24.601709365844727,38.37900161743164,39.59600067138672,52.71979522705078
2016-08-31,24.624921798706055,38.45800018310547,39.49250030517578,52.32818603515625
2016-09-01,24.771141052246094,38.53099822998047,39.56999969482422,52.44657516479492
2016-09-02,25.00322914123535,38.62200164794922,39.84349822998047,52.51943588256836
2016-09-06,24.99627113342285,39.44350051879883,40.4010009765625,52.46479034423828
2016-09-07,25.14944839477539,39.2239990234375,40.39950180053711,52.51031494140625
2016-09-08,24.490306854248047,39.202999114990234,40.141998291015625,52.30086135864258
2016-09-09,23.93560791015625,38.00699996948242,39.42399978637695,51.1898307800293
2016-09-12,24.47174072265625,38.574501037597656,39.941001892089844,51.954803466796875
2016-09-13,25.054288864135742,38.050498962402344,39.43600082397461,51.481239318847656
2016-09-14,25.940879821777344,38.054500579833984,39.52299880981445,51.2353630065918
2016-09-15,26.822837829589844,38.484500885009766,40.061500549316406,52.082298278808594
2016-09-16,26.671964645385742,38.92599868774414,39.89849853515625,52.13694763183594
2016-09-19,26.360965728759766,38.755001068115234,39.769500732421875,51.84552001953125
2016-09-20,26.358646392822266,39.01100158691406,39.98899841308594,51.736244201660156
2016-09-21,26.35400390625,39.48699951171875,40.25149917602539,52.60139465332031
2016-09-22,26.602344512939453,40.23500061035156,40.79750061035156,52.65604019165039
